name,groupName,subGroupName,count,score,digital_assign,pct,lv.mod
Ruby on Rails,Technologies,Web platform development software,145,19.56498277379801,1,0.02041003047428688,Software/Product Development skills
Russian language,Social-Emotional Skills,Languages,217,214.7890205776939,0,0.030544666296001746,NA
Saber saws,Tools and Equipment,Miscellaneous or unclassified,1,315.562773907472,0,1.407588308571509e-4,NA
Sabre,Technologies,Aviation ground support software,43,93.70608534624488,1,0.006052629726857489,Workforce digital skills
Safe Quality Food (SQF),Occupational Skills,Quality management,341,221.27987597546732,0,0.047998761322288454,NA
Safe Software FME,Technologies,Analytical or scientific software,12,26.230803008161796,1,0.0016891059702858107,Industrial Modelling and Geospatial Software skills
Safety-toe boots,Tools and Equipment,Miscellaneous or unclassified,6,246.73226005260437,0,8.445529851429053e-4,NA
Safety chains,Tools and Equipment,Miscellaneous or unclassified,1,380.02164577327534,0,1.407588308571509e-4,NA
Safety cones,Tools and Equipment,Miscellaneous or unclassified,1,277.4261401027882,0,1.407588308571509e-4,NA
Safety showers,Tools and Equipment,Miscellaneous or unclassified,5,207.41573539550004,0,7.037941542857545e-4,NA
Sage,Technologies,Analytical or scientific software,3408,165.5364750878431,1,0.4797060955611702,Workforce digital skills
Sage 100 Contractor,Technologies,Data base user interface and query software,10,158.44592746522528,1,0.001407588308571509,Workforce digital skills
Sage 300 Construction and Real Estate,Technologies,Data base user interface and query software,3,134.92481344335425,1,4.2227649257145267e-4,Workforce digital skills
Sage 300 ERP,Technologies,Enterprise resource planning ERP software,29,148.1099120343455,1,0.004082006094857376,Workforce digital skills
Sage 50 Accounting,Technologies,Accounting software,78,156.9093995941385,1,0.01097918880685777,Workforce digital skills
Sage ERP Accpac,Technologies,Enterprise resource planning ERP software,283,151.61232011967465,1,0.039834749132573705,Workforce digital skills
Sage MAS 90,Technologies,Enterprise resource planning ERP software,1,94.0732336034332,1,1.407588308571509e-4,Workforce digital skills
Sage Medical Manager,Technologies,Accounting software,14,135.32286034745798,1,0.0019706236320001127,Workforce digital skills
